N,F_单调查表
4797,419
4798,419
4799,419
4800,419
4801,420
4802,420
4803,420
4804,421
4805,421
4806,421
4807,421
4808,421
4809,421
4810,421
4811,421
4812,421
4813,421
4814,421
4815,421
4816,421
4817,421
4818,421
4819,421
4820,421
4821,421
4822,421
4823,421
4824,421
4825,421
4826,421
4827,421
4828,421
4829,421
4830,421
4831,421
4832,421
4833,421
4834,421
4835,421
4836,421
4837,421
4838,422
4839,422
4840,422
4841,422
4842,422
4843,422
4844,422
4845,422
4846,422
4847,422
4848,422
4849,422
4850,422
4851,423
4852,423
4853,423
4854,423
4855,423
4856,423
4857,423
4858,423
4859,423
4860,423
4861,423
4862,423
4863,423
4864,423
4865,423
4866,423
4867,423
4868,423
4869,423
4870,423
4871,424
4872,424
4873,424
4874,424
4875,424
4876,424
4877,424
4878,424
4879,424
4880,424
4881,424
4882,424
4883,424
4884,424
4885,424
4886,424
4887,424
4888,424
4889,424
4890,424
4891,424
4892,424
4893,424
4894,424
4895,424
4896,424
4897,424
4898,424
4899,424
4900,424
4901,425
4902,425
4903,425
4904,425
4905,426
4906,426
4907,426
4908,426
4909,426
4910,426
4911,426
4912,426
4913,426
4914,426
4915,426
4916,426
4917,426
4918,426
4919,426
4920,426
4921,426
4922,426
4923,426
4924,426
4925,426
4926,426
4927,426
4928,426
4929,426
4930,426
4931,426
4932,426
4933,426
4934,426
4935,426
4936,426
4937,426
4938,426
4939,427
4940,427
4941,427
4942,427
4943,427
4944,427
4945,427
4946,427
4947,427
4948,427
4949,427
4950,427
4951,428
4952,428
4953,428
4954,428
4955,428
4956,428
4957,428
4958,428
4959,428
4960,428
4961,428
4962,428
4963,428
4964,428
4965,428
4966,428
4967,428
4968,428
4969,428
4970,428
4971,428
4972,428
4973,428
4974,429
4975,429
4976,429
4977,429
4978,429
4979,429
4980,429
4981,429
4982,429
4983,429
4984,429
4985,429
4986,429
4987,429
4988,429
4989,429
4990,429
4991,429
4992,429
4993,429
4994,429
4995,429
4996,429
4997,429
4998,429
4999,429
